Suite,Benchmark,Old,New,Unit
Kernel API,CreateDeleteLabels.createDeleteLabel_(count:4)_(format:standard)_(kernelImplementation:records)_(threads:1)_(txMemory:on_heap)_(txSize:100),150.38,237.51,op/ms
Kernel API,CreateNonUniqueNodeProperties.setProperty_(format:standard)_(index:SCHEMA)_(kernel:records)_(threads:1)_(txMemory:on_heap)_(txSize:100)_(type:small_string),119.22,187.71,op/ms
Kernel API,CreateUniqueNodeProperties.setProperty_(format:standard)_(index:SCHEMA)_(kernel:records)_(threads:1)_(txSize:100)_(type:long),128.49,198.08,op/ms
Kernel API,CreateNonUniqueNodeProperties.setProperty_(format:standard)_(index:SCHEMA)_(kernel:records)_(threads:1)_(txMemory:on_heap)_(txSize:100)_(type:long),124.01,189.15,op/ms
Kernel API,CreateUniqueNodeProperties.setProperty_(format:standard)_(index:SCHEMA)_(kernel:records)_(threads:1)_(txSize:100)_(type:date_time),121.41,184.71,op/ms
Kernel API,CreateUniqueNodeProperties.setProperty_(format:standard)_(index:NONE)_(kernel:records)_(threads:1)_(txSize:100)_(type:long),158.99,239.82,op/ms
Kernel API,CreateNodeWithMandatoryProperties.createNode_(kernel:records)_(threads:1)_(txSize:100)_(type:small_string),113.86,171.2,op/ms
Kernel API,FindNodeNonUnique.countNodesWithLabelKeyValueWhenSelectivityMedium_(format:standard)_(kernelImplementation:records)_(threads:8)_(type:long),4.46,6.72,ms/op
Kernel API,FindNodeUnique.countNodesWithLabelKeyValue_(format:standard)_(kernelImplementation:records)_(threads:1)_(type:long),1.76,2.77,us/op
Kernel API,FindNodeUnique.findNodeByLabelKeyValue_(format:standard)_(kernelImplementation:records)_(threads:1)_(type:long),1.67,2.7,us/op
Page Cache,ReadV2WithoutInterference.randomRead_(percentage:1.1)_(threads:8),113.85,172.72,op/us
Procedures,AggregationFunctionCall.testAggregation_(rows:1000000)_(threads:1),7.5,4.19,ms/op
